,realtime_start,realtime_end,date,value
0,2022-09-13,2022-09-13,1990-01-01,8.2
1,2022-09-13,2022-09-13,1990-02-01,7.3
2,2022-09-13,2022-09-13,1990-03-01,7.0
3,2022-09-13,2022-09-13,1990-04-01,6.5
4,2022-09-13,2022-09-13,1990-05-01,5.0
5,2022-09-13,2022-09-13,1990-06-01,4.3
6,2022-09-13,2022-09-13,1990-07-01,4.1
7,2022-09-13,2022-09-13,1990-08-01,3.4
8,2022-09-13,2022-09-13,1990-09-01,3.8
9,2022-09-13,2022-09-13,1990-10-01,4.5
10,2022-09-13,2022-09-13,1990-11-01,4.7
11,2022-09-13,2022-09-13,1990-12-01,5.3
12,2022-09-13,2022-09-13,1991-01-01,8.2
13,2022-09-13,2022-09-13,1991-02-01,7.2
14,2022-09-13,2022-09-13,1991-03-01,7.2
15,2022-09-13,2022-09-13,1991-04-01,5.8
16,2022-09-13,2022-09-13,1991-05-01,4.2
17,2022-09-13,2022-09-13,1991-06-01,3.6
18,2022-09-13,2022-09-13,1991-07-01,3.1
19,2022-09-13,2022-09-13,1991-08-01,3.0
20,2022-09-13,2022-09-13,1991-09-01,2.9
21,2022-09-13,2022-09-13,1991-10-01,3.6
22,2022-09-13,2022-09-13,1991-11-01,5.6
23,2022-09-13,2022-09-13,1991-12-01,7.2
24,2022-09-13,2022-09-13,1992-01-01,6.7
25,2022-09-13,2022-09-13,1992-02-01,7.5
26,2022-09-13,2022-09-13,1992-03-01,6.6
27,2022-09-13,2022-09-13,1992-04-01,5.6
28,2022-09-13,2022-09-13,1992-05-01,4.9
29,2022-09-13,2022-09-13,1992-06-01,4.7
30,2022-09-13,2022-09-13,1992-07-01,4.5
31,2022-09-13,2022-09-13,1992-08-01,3.9
32,2022-09-13,2022-09-13,1992-09-01,4.2
33,2022-09-13,2022-09-13,1992-10-01,4.1
34,2022-09-13,2022-09-13,1992-11-01,5.9
35,2022-09-13,2022-09-13,1992-12-01,6.0
36,2022-09-13,2022-09-13,1993-01-01,7.1
37,2022-09-13,2022-09-13,1993-02-01,8.1
38,2022-09-13,2022-09-13,1993-03-01,6.6
39,2022-09-13,2022-09-13,1993-04-01,6.0
40,2022-09-13,2022-09-13,1993-05-01,5.2
41,2022-09-13,2022-09-13,1993-06-01,5.1
42,2022-09-13,2022-09-13,1993-07-01,4.3
43,2022-09-13,2022-09-13,1993-08-01,3.7
44,2022-09-13,2022-09-13,1993-09-01,4.3
45,2022-09-13,2022-09-13,1993-10-01,5.3
46,2022-09-13,2022-09-13,1993-11-01,6.2
47,2022-09-13,2022-09-13,1993-12-01,8.0
48,2022-09-13,2022-09-13,1994-01-01,8.9
49,2022-09-13,2022-09-13,1994-02-01,8.3
50,2022-09-13,2022-09-13,1994-03-01,7.3
51,2022-09-13,2022-09-13,1994-04-01,6.5
52,2022-09-13,2022-09-13,1994-05-01,5.2
53,2022-09-13,2022-09-13,1994-06-01,5.3
54,2022-09-13,2022-09-13,1994-07-01,4.8
55,2022-09-13,2022-09-13,1994-08-01,4.3
56,2022-09-13,2022-09-13,1994-09-01,4.5
57,2022-09-13,2022-09-13,1994-10-01,4.8
58,2022-09-13,2022-09-13,1994-11-01,5.0
59,2022-09-13,2022-09-13,1994-12-01,7.4
60,2022-09-13,2022-09-13,1995-01-01,7.7
61,2022-09-13,2022-09-13,1995-02-01,7.0
62,2022-09-13,2022-09-13,1995-03-01,6.7
63,2022-09-13,2022-09-13,1995-04-01,6.0
64,2022-09-13,2022-09-13,1995-05-01,4.9
65,2022-09-13,2022-09-13,1995-06-01,4.9
66,2022-09-13,2022-09-13,1995-07-01,4.1
67,2022-09-13,2022-09-13,1995-08-01,3.9
68,2022-09-13,2022-09-13,1995-09-01,3.9
69,2022-09-13,2022-09-13,1995-10-01,4.3
70,2022-09-13,2022-09-13,1995-11-01,4.2
71,2022-09-13,2022-09-13,1995-12-01,5.5
72,2022-09-13,2022-09-13,1996-01-01,7.1
73,2022-09-13,2022-09-13,1996-02-01,6.4
74,2022-09-13,2022-09-13,1996-03-01,6.0
75,2022-09-13,2022-09-13,1996-04-01,5.1
76,2022-09-13,2022-09-13,1996-05-01,4.4
77,2022-09-13,2022-09-13,1996-06-01,4.2
78,2022-09-13,2022-09-13,1996-07-01,4.2
79,2022-09-13,2022-09-13,1996-08-01,4.5
80,2022-09-13,2022-09-13,1996-09-01,4.3
81,2022-09-13,2022-09-13,1996-10-01,4.4
82,2022-09-13,2022-09-13,1996-11-01,5.7
83,2022-09-13,2022-09-13,1996-12-01,5.7
84,2022-09-13,2022-09-13,1997-01-01,6.9
85,2022-09-13,2022-09-13,1997-02-01,5.8
86,2022-09-13,2022-09-13,1997-03-01,6.1
87,2022-09-13,2022-09-13,1997-04-01,5.0
88,2022-09-13,2022-09-13,1997-05-01,4.4
89,2022-09-13,2022-09-13,1997-06-01,4.6
90,2022-09-13,2022-09-13,1997-07-01,4.1
91,2022-09-13,2022-09-13,1997-08-01,3.4
92,2022-09-13,2022-09-13,1997-09-01,3.8
93,2022-09-13,2022-09-13,1997-10-01,3.6
94,2022-09-13,2022-09-13,1997-11-01,3.7
95,2022-09-13,2022-09-13,1997-12-01,4.4
96,2022-09-13,2022-09-13,1998-01-01,6.4
97,2022-09-13,2022-09-13,1998-02-01,5.9
98,2022-09-13,2022-09-13,1998-03-01,5.8
99,2022-09-13,2022-09-13,1998-04-01,4.5
100,2022-09-13,2022-09-13,1998-05-01,4.0
101,2022-09-13,2022-09-13,1998-06-01,4.3
102,2022-09-13,2022-09-13,1998-07-01,4.2
103,2022-09-13,2022-09-13,1998-08-01,4.2
104,2022-09-13,2022-09-13,1998-09-01,4.2
105,2022-09-13,2022-09-13,1998-10-01,3.9
106,2022-09-13,2022-09-13,1998-11-01,5.0
107,2022-09-13,2022-09-13,1998-12-01,4.5
108,2022-09-13,2022-09-13,1999-01-01,5.1
109,2022-09-13,2022-09-13,1999-02-01,4.9
110,2022-09-13,2022-09-13,1999-03-01,4.2
111,2022-09-13,2022-09-13,1999-04-01,4.2
112,2022-09-13,2022-09-13,1999-05-01,3.7
113,2022-09-13,2022-09-13,1999-06-01,4.0
114,2022-09-13,2022-09-13,1999-07-01,3.9
115,2022-09-13,2022-09-13,1999-08-01,3.5
116,2022-09-13,2022-09-13,1999-09-01,4.0
117,2022-09-13,2022-09-13,1999-10-01,4.8
118,2022-09-13,2022-09-13,1999-11-01,5.1
119,2022-09-13,2022-09-13,1999-12-01,6.2
120,2022-09-13,2022-09-13,2000-01-01,7.0
121,2022-09-13,2022-09-13,2000-02-01,6.8
122,2022-09-13,2022-09-13,2000-03-01,5.9
123,2022-09-13,2022-09-13,2000-04-01,4.8
124,2022-09-13,2022-09-13,2000-05-01,3.9
125,2022-09-13,2022-09-13,2000-06-01,4.0
126,2022-09-13,2022-09-13,2000-07-01,4.0
127,2022-09-13,2022-09-13,2000-08-01,3.7
128,2022-09-13,2022-09-13,2000-09-01,4.0
129,2022-09-13,2022-09-13,2000-10-01,4.0
130,2022-09-13,2022-09-13,2000-11-01,4.6
131,2022-09-13,2022-09-13,2000-12-01,5.8
132,2022-09-13,2022-09-13,2001-01-01,6.1
133,2022-09-13,2022-09-13,2001-02-01,5.3
134,2022-09-13,2022-09-13,2001-03-01,5.1
135,2022-09-13,2022-09-13,2001-04-01,4.3
136,2022-09-13,2022-09-13,2001-05-01,3.3
137,2022-09-13,2022-09-13,2001-06-01,4.3
138,2022-09-13,2022-09-13,2001-07-01,4.2
139,2022-09-13,2022-09-13,2001-08-01,4.2
140,2022-09-13,2022-09-13,2001-09-01,3.9
141,2022-09-13,2022-09-13,2001-10-01,4.2
142,2022-09-13,2022-09-13,2001-11-01,5.3
143,2022-09-13,2022-09-13,2001-12-01,5.9
144,2022-09-13,2022-09-13,2002-01-01,7.6
145,2022-09-13,2022-09-13,2002-02-01,6.4
146,2022-09-13,2022-09-13,2002-03-01,6.1
147,2022-09-13,2022-09-13,2002-04-01,5.6
148,2022-09-13,2022-09-13,2002-05-01,3.7
149,2022-09-13,2022-09-13,2002-06-01,4.4
150,2022-09-13,2022-09-13,2002-07-01,3.9
151,2022-09-13,2022-09-13,2002-08-01,4.0
152,2022-09-13,2022-09-13,2002-09-01,3.8
153,2022-09-13,2022-09-13,2002-10-01,4.2
154,2022-09-13,2022-09-13,2002-11-01,5.5
155,2022-09-13,2022-09-13,2002-12-01,7.7
156,2022-09-13,2022-09-13,2003-01-01,9.1
157,2022-09-13,2022-09-13,2003-02-01,7.7
158,2022-09-13,2022-09-13,2003-03-01,6.7
159,2022-09-13,2022-09-13,2003-04-01,5.9
160,2022-09-13,2022-09-13,2003-05-01,4.3
161,2022-09-13,2022-09-13,2003-06-01,4.5
162,2022-09-13,2022-09-13,2003-07-01,4.3
163,2022-09-13,2022-09-13,2003-08-01,4.2
164,2022-09-13,2022-09-13,2003-09-01,4.1
165,2022-09-13,2022-09-13,2003-10-01,4.6
166,2022-09-13,2022-09-13,2003-11-01,6.4
167,2022-09-13,2022-09-13,2003-12-01,6.3
168,2022-09-13,2022-09-13,2004-01-01,7.0
169,2022-09-13,2022-09-13,2004-02-01,6.3
170,2022-09-13,2022-09-13,2004-03-01,6.5
171,2022-09-13,2022-09-13,2004-04-01,5.1
172,2022-09-13,2022-09-13,2004-05-01,4.0
173,2022-09-13,2022-09-13,2004-06-01,4.3
174,2022-09-13,2022-09-13,2004-07-01,4.2
175,2022-09-13,2022-09-13,2004-08-01,3.9
176,2022-09-13,2022-09-13,2004-09-01,3.6
177,2022-09-13,2022-09-13,2004-10-01,3.5
178,2022-09-13,2022-09-13,2004-11-01,4.2
179,2022-09-13,2022-09-13,2004-12-01,4.8
180,2022-09-13,2022-09-13,2005-01-01,6.4
181,2022-09-13,2022-09-13,2005-02-01,6.2
182,2022-09-13,2022-09-13,2005-03-01,5.8
183,2022-09-13,2022-09-13,2005-04-01,4.7
184,2022-09-13,2022-09-13,2005-05-01,3.3
185,2022-09-13,2022-09-13,2005-06-01,3.3
186,2022-09-13,2022-09-13,2005-07-01,3.2
187,2022-09-13,2022-09-13,2005-08-01,3.0
188,2022-09-13,2022-09-13,2005-09-01,2.8
189,2022-09-13,2022-09-13,2005-10-01,2.7
190,2022-09-13,2022-09-13,2005-11-01,3.2
191,2022-09-13,2022-09-13,2005-12-01,4.1
192,2022-09-13,2022-09-13,2006-01-01,4.7
193,2022-09-13,2022-09-13,2006-02-01,4.7
194,2022-09-13,2022-09-13,2006-03-01,4.1
195,2022-09-13,2022-09-13,2006-04-01,3.3
196,2022-09-13,2022-09-13,2006-05-01,2.3
197,2022-09-13,2022-09-13,2006-06-01,2.4
198,2022-09-13,2022-09-13,2006-07-01,2.2
199,2022-09-13,2022-09-13,2006-08-01,1.9
200,2022-09-13,2022-09-13,2006-09-01,2.1
201,2022-09-13,2022-09-13,2006-10-01,2.1
202,2022-09-13,2022-09-13,2006-11-01,2.4
203,2022-09-13,2022-09-13,2006-12-01,2.9
204,2022-09-13,2022-09-13,2007-01-01,3.5
205,2022-09-13,2022-09-13,2007-02-01,3.0
206,2022-09-13,2022-09-13,2007-03-01,2.9
207,2022-09-13,2022-09-13,2007-04-01,2.4
208,2022-09-13,2022-09-13,2007-05-01,1.6
209,2022-09-13,2022-09-13,2007-06-01,2.1
210,2022-09-13,2022-09-13,2007-07-01,1.9
211,2022-09-13,2022-09-13,2007-08-01,1.8
212,2022-09-13,2022-09-13,2007-09-01,1.8
213,2022-09-13,2022-09-13,2007-10-01,2.0
214,2022-09-13,2022-09-13,2007-11-01,2.3
215,2022-09-13,2022-09-13,2007-12-01,2.4
